Date,COMMUNITY,ZIP,Unemployment rate (%)
06/01/2021 12:00:00 AM,Campo,91906,9.9
05/01/2021 12:00:00 AM,Campo,91906,9.34
04/01/2021 12:00:00 AM,Campo,91906,10.14
03/01/2021 12:00:00 AM,Campo,91906,10.55
02/01/2021 12:00:00 AM,Campo,91906,10.93
01/01/2021 12:00:00 AM,Campo,91906,11.43
12/01/2020 12:00:00 AM,Campo,91906,11.21
11/01/2020 12:00:00 AM,Campo,91906,10.91
10/01/2020 12:00:00 AM,Campo,91906,11.3
09/01/2020 12:00:00 AM,Campo,91906,12.45
08/01/2020 12:00:00 AM,Campo,91906,13.64
07/01/2020 12:00:00 AM,Campo,91906,15.36
06/01/2020 12:00:00 AM,Campo,91906,16.25
05/01/2020 12:00:00 AM,Campo,91906,18.88
04/01/2020 12:00:00 AM,Campo,91906,18.23
03/01/2020 12:00:00 AM,Campo,91906,7.11
02/01/2020 12:00:00 AM,Campo,91906,5.67
02/01/2023 12:00:00 AM,Boulevard,91905,3.69
01/01/2023 12:00:00 AM,Boulevard,91905,3.74
12/01/2022 12:00:00 AM,Boulevard,91905,2.85
11/01/2022 12:00:00 AM,Boulevard,91905,3.49
10/01/2022 12:00:00 AM,Boulevard,91905,3.35
09/01/2022 12:00:00 AM,Boulevard,91905,3.14
08/01/2022 12:00:00 AM,Boulevard,91905,3.15
07/01/2022 12:00:00 AM,Boulevard,91905,2.9
06/01/2022 12:00:00 AM,Boulevard,91905,3.25
05/01/2022 12:00:00 AM,Boulevard,91905,3.08
04/01/2022 12:00:00 AM,Boulevard,91905,3.77
03/01/2022 12:00:00 AM,Boulevard,91905,4.39
02/01/2022 12:00:00 AM,Boulevard,91905,4.74
01/01/2022 12:00:00 AM,Boulevard,91905,5.24
12/01/2021 12:00:00 AM,Boulevard,91905,4.85
11/01/2021 12:00:00 AM,Boulevard,91905,5.02
10/01/2021 12:00:00 AM,Boulevard,91905,5.52
09/01/2021 12:00:00 AM,Boulevard,91905,5.79
08/01/2021 12:00:00 AM,Boulevard,91905,6.42
07/01/2021 12:00:00 AM,Boulevard,91905,6.84
06/01/2021 12:00:00 AM,Boulevard,91905,7.98
05/01/2021 12:00:00 AM,Boulevard,91905,7.63
04/01/2021 12:00:00 AM,Boulevard,91905,8.53
03/01/2021 12:00:00 AM,Boulevard,91905,9.17
02/01/2021 12:00:00 AM,Boulevard,91905,9.69
01/01/2021 12:00:00 AM,Boulevard,91905,10.45
